"","rt1","rt2","rt3","rt4","rt5","rt6"
"1",1430,1467,2805,1757,1932,2272
"2",1909,1509,1323,2203,3512,2427
"3",1263,1655,2045,1374,1580,1394
"4",3575,1878,1750,1611,1872,1856
"5",1758,1201,2395,2245,1536,1695
"6",2103,2672,1930,2003,3109,2484
"7",4539,4754,2500,1603,3326,1259
"8",1496,1508,1684,1512,2527,1860
"9",2557,2048,2807,1514,4106,1367
"10",3027,1965,1534,1287,1688,1534
"11",1447,1127,1460,1156,656,1322
"12",1487,1813,1147,1599,1282,1342
"13",1418,1200,2110,1592,1863,1908
"14",2524,2755,5064,2735,2049,2811
"15",3277,1612,1202,1194,1785,3911
"16",4369,3446,1936,2463,3856,1817
"17",2522,3007,1646,2094,1696,1500
"18",2754,2064,2274,3493,2564,1821
"19",2889,1516,1404,1235,3990,3096
"20",2252,1925,1495,1293,710,1332
"21",1802,1516,1961,1759,1728,1302
"22",1962,2500,1698,1837,2033,1569
"23",2169,1712,1709,1729,1152,3824
"24",2361,1843,1773,1574,2798,1725
"25",1712,2221,3126,3039,2585,2091
"26",1820,1732,1732,3142,3344,1895
"27",2263,1422,1898,3761,4836,1643
"28",3883,4036,2687,3280,2072,2255
"29",2539,1437,1299,1490,1298,1221
"30",2631,1441,2132,1294,2637,2549
"31",2690,2274,3049,2277,1752,1552
"32",1555,1569,1303,1509,1001,1326
"33",868,946,844,959,981,978
"34",2080,2878,1776,2154,2228,2641
"35",2906,2656,1988,2027,3681,2227
"36",2883,2034,5087,2427,1606,1530
"37",1602,1705,1181,1327,941,1557
"38",1626,2244,1438,1396,1612,1027
"39",1726,3213,3187,1640,5029,5333
"40",1907,2058,2657,2162,1266,1198
"41",1577,1648,1322,1210,1074,1507
"42",2326,1869,2422,1761,1222,1537
"43",1612,1909,1287,1006,1040,1109
"44",3062,1874,1308,2507,2035,1323
"45",1277,1527,1257,1075,1601,1030
"46",1457,1767,1700,2154,2201,1020
"47",4424,2203,3282,2879,2234,2624
"48",3834,3726,1807,2262,2109,2306
"49",2207,1645,1787,1850,2250,3197
"50",994,1288,2418,1935,1098,1821
"51",1734,1620,1513,1904,2192,1569
"52",3171,1668,2053,1540,1355,1888
"53",1331,1052,1258,1015,1065,948
"54",1324,1232,1488,1284,979,1121
"55",1509,1422,2950,1106,1732,1958
"56",1550,1489,1139,1661,1222,2531
"57",1272,1733,1849,1320,807,3246
"58",1582,1401,1179,1510,954,1415
"59",1884,2427,2114,2253,1886,2285
"60",2737,2366,2597,2165,989,4965
"61",3337,3020,3910,3390,1594,1327
"62",2435,1795,2076,1856,2197,3317
"63",2965,2171,2443,2693,1751,1787
"64",1547,1387,2040,1268,2054,2938
"65",1645,1317,1342,1352,1980,1187
"66",1858,1394,1616,1362,1199,942
"67",1531,2213,1446,1592,1536,1656
"68",1327,2545,1553,2448,1134,1351
"69",3761,1867,1993,2053,2172,2126
"70",2297,1401,1140,2275,1576,2893
"71",1283,956,1076,1100,1305,1005
"72",2358,1305,1565,1223,1872,1698
"73",3789,1940,2811,1346,792,2542
"74",985,975,981,1006,837,962
"75",2090,2394,2269,958,1287,1784
"76",2613,1124,1484,2205,683,887
"77",1182,1359,1564,1423,5526,1320
"78",2612,1821,1900,1697,1722,1839
"79",2534,1967,2866,1311,2078,1241
